remote_name,manufacturer,remote_model,variant,locale,command_id,button_label,protocol,carrier_hz,address_hex,command_hex,code_hex,validation_status
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,digit.1,1,unknown,38000,0x00,0x45,0x0045,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,digit.2,2,unknown,38000,0x00,0x46,0x0046,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,digit.3,3,unknown,38000,0x00,0x47,0x0047,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,digit.4,4,unknown,38000,0x00,0x44,0x0044,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,digit.5,5,unknown,38000,0x00,0x40,0x0040,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,digit.6,6,unknown,38000,0x00,0x43,0x0043,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,digit.7,7,unknown,38000,0x00,0x07,0x0007,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,digit.8,8,unknown,38000,0x00,0x15,0x0015,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,symbol.asterisk,*,unknown,38000,0x00,0x09,0x0009,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,digit.9,9,unknown,38000,0x00,0x16,0x0016,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,symbol.hash,#,unknown,38000,0x00,0x0D,0x000D,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,navigation.up,Up,unknown,38000,0x00,0x18,0x0018,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,navigation.left,Left,unknown,38000,0x00,0x08,0x0008,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,navigation.ok,OK,unknown,38000,0x00,0x1C,0x001C,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,navigation.right,Right,unknown,38000,0x00,0x5A,0x005A,device-tested
Generic Number and Navigation Remote,Generic,Number and Navigation Remote,default,en,navigation.down,Down,unknown,38000,0x00,0x52,0x0052,device-tested
